2018-09-29T00:48:37Z, 58, NTP, Adjust, 5
2018-09-29T05:43:41Z, 59, NTP, Adjust, 10
2018-09-29T14:27:54Z, 59, NTP, Adjust, -5
2018-09-29T19:01:01Z, 58, NTP, Adjust, -15
2018-09-29T23:56:00Z, 59, NTP, Adjust, 15
2018-09-30T08:40:09Z, 58, NTP, Adjust, 5
2018-09-30T09:03:01Z, 58, NTP, Adjust, -145
2018-09-30T09:12:56Z, 58, NWL, Measmt, 150
2018-09-30T09:13:10Z, 58, NWL, Adjust, 146
2018-09-30T17:46:24Z, 58, NTP, Adjust, -20
2018-09-30T22:19:23Z, 59, NTP, Adjust, 5
2018-10-01T02:52:29Z, 58, NTP, Adjust, 10
2018-10-01T07:25:30Z, 58, NTP, Adjust, 5
2018-10-01T12:20:11Z, 58, NTP, Adjust, 5
2018-10-01T16:31:40Z, 58, NTP, Adjust, -5
2018-10-01T21:04:44Z, 59, NTP, Adjust, 5
2018-10-02T01:55:07Z, 59, NTP, Adjust, 5
2018-10-02T06:32:50Z, 58, NTP, Adjust, -5
2018-10-02T11:05:56Z, 58, NTP, Adjust, 5
